scientific_name,family,genus,plant_rows,first_plant_id,chinese_name,source,note
Phyllostachys edulis,Poaceae,Phyllostachys,1,9,毛竹,MANUAL,
Cedrus deodara,Pinaceae,Cedrus,1,14,喜马拉雅雪松,MANUAL,
Magnolia denudata,Magnoliaceae,Magnolia,1,15,玉兰,MANUAL,
Liriodendron chinense,Magnoliaceae,Liriodendron,1,16,鹅掌楸,MANUAL,
Arachis hypogaea,Fabaceae,Arachis,1,23,花生,MANUAL,
Albizia julibrissin,Fabaceae,Albizia,1,24,合欢,MANUAL,
Artemisia annua,Asteraceae,Artemisia,1,27,黄花蒿,MANUAL,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,1,36,拟南芥,MANUAL,
Daucus carota,Apiaceae,Daucus,1,37,胡萝卜,MANUAL,
Apium graveolens,Apiaceae,Apium,1,38,芹菜,MANUAL,
Coriandrum sativum,Apiaceae,Coriandrum,1,39,芫荽,MANUAL,
Foeniculum vulgare,Apiaceae,Foeniculum,1,41,茴香,MANUAL,
Homalomena metallica,Araceae,Homalomena,1,42,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena major,Araceae,Homalomena,1,43,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena megalophylla,Araceae,Homalomena,1,44,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena occulta,Araceae,Homalomena,1,45,千年健,WIKIDATA,REVIEW_LOW: rare genus in current corpus; WD_STRICT_OK
Homalomena ovalifolia,Araceae,Homalomena,1,46,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena ovata,Araceae,Homalomena,1,47,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena melanesica,Araceae,Homalomena,1,48,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena pulleana,Araceae,Homalomena,1,49,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena obovata,Araceae,Homalomena,1,50,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena nigrescens,Araceae,Homalomena,1,51,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena nutans,Araceae,Homalomena,1,52,,TODO,REVIEW_LOW: rare genus in current corpus
Homalomena obscurifolia,Araceae,Homalomena,1,53,,TODO,REVIEW_LOW: rare genus in current corpus
Acalypha peduncularis,Euphorbiaceae,Acalypha,1,54,,TODO,
Homalomena wallichii,Araceae,Homalomena,1,55,,TODO,REVIEW_LOW: rare genus in current corpus
Homalopetalum kienastii,Orchidaceae,Homalopetalum,1,56,,TODO,
Homonoia retusa,Euphorbiaceae,Homonoia,1,57,水锦树,MANUAL,
Homoranthus cernuus,Myrtaceae,Homoranthus,1,58,,TODO,
Homoranthus decumbens,Myrtaceae,Homoranthus,1,59,,TODO,
Homoranthus biflorus,Myrtaceae,Homoranthus,1,60,,TODO,
Homoranthus decasetus,Myrtaceae,Homoranthus,1,61,,TODO,
Homoranthus porteri,Myrtaceae,Homoranthus,1,62,,TODO,
Homoranthus homoranthoides,Myrtaceae,Homoranthus,1,63,,TODO,
Homoranthus wilhelmii,Myrtaceae,Homoranthus,1,64,,TODO,
Hottarum truncatum,Araceae,Hottarum,1,65,,TODO,
Houlletia tigrina,Orchidaceae,Houlletia,1,66,,TODO,
Houstonia correllii,Rubiaceae,Houstonia,1,67,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia croftiae,Rubiaceae,Houstonia,1,68,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia humifusa,Rubiaceae,Houstonia,1,69,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia macvaughii,Rubiaceae,Houstonia,1,70,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia micrantha,Rubiaceae,Houstonia,1,71,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia ouachitana,Rubiaceae,Houstonia,1,72,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia parviflora,Rubiaceae,Houstonia,1,73,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia procumbens,Rubiaceae,Houstonia,1,74,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia pusilla,Rubiaceae,Houstonia,1,75,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia rosea,Rubiaceae,Houstonia,1,76,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia spellenbergii,Rubiaceae,Houstonia,1,77,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia subviscosa,Rubiaceae,Houstonia,1,78,,TODO,REVIEW_LOW: rare genus in current corpus
Houstonia palmeri,Rubiaceae,Houstonia,1,79,,TODO,REVIEW_LOW: rare genus in current corpus
Howea belmoreana,Arecaceae,Howea,1,80,贝尔莫尔椰子,MANUAL,
Howea forsteriana,Arecaceae,Howea,1,81,肯氏椰子,MANUAL,
Hunteria congolana,Apocynaceae,Hunteria,1,82,,TODO,
Hunteria ghanensis,Apocynaceae,Hunteria,1,83,,TODO,
Hunteria macrosiphon,Apocynaceae,Hunteria,1,84,,TODO,
Hunteria umbellata,Apocynaceae,Hunteria,1,85,,TODO,
Hunteria zeylanica,Apocynaceae,Hunteria,1,86,仔榄树,WIKIDATA,WD_STRICT_OK
Houlletia unguiculata,Orchidaceae,Houlletia,1,87,,TODO,
Huntleya burtii,Orchidaceae,Huntleya,1,88,,TODO,
Huntleya apiculata,Orchidaceae,Huntleya,1,89,,TODO,
Houlletia brocklehurstiana,Orchidaceae,Houlletia,1,90,,TODO,
Hyaenanche globosa,Picrodendraceae,Hyaenanche,1,91,,TODO,
Hydnophytum alboviride,Rubiaceae,Hydnophytum,1,92,,TODO,
Hydnophytum bracteatum,Rubiaceae,Hydnophytum,1,93,,TODO,
Abebaia fasciculata,Sapotaceae,Abebaia,1,94,,TODO,
Hydriastele aprica,Arecaceae,Hydriastele,1,95,,TODO,
Hydriastele dransfieldii,Arecaceae,Hydriastele,1,96,,TODO,
Hydriastele cylindrocarpa,Arecaceae,Hydriastele,1,97,,TODO,
Hydriastele beguinii,Arecaceae,Hydriastele,1,98,,TODO,
Hydriastele manusii,Arecaceae,Hydriastele,1,99,,TODO,
Hydriastele microcarpa,Arecaceae,Hydriastele,1,100,,TODO,
Hydriastele procera,Arecaceae,Hydriastele,1,101,,TODO,
Anodendron affine,Apocynaceae,Anodendron,1,102,鳝藤,WIKIDATA,REVIEW_LOW: rare genus in current corpus; WD_STRICT_OK
Hydriastele nannostachys,Arecaceae,Hydriastele,1,103,,TODO,
Hydnophytum angustifolium,Rubiaceae,Hydnophytum,1,104,,TODO,
